"V1" "V2" "V3" "V4" "V5"
"71088454" "68230523" "86248542" "87413045" "84738562"
"8732478098" "8613061814" "12738519330" "10333410157" "14773403430"
"5771666" "6683995" "5979661" "7196628" "6109414"
"89219954" "97132738" "104224795" "113153064" "120443839"
"62084743" "45519976" "50932969" "49040226" "38811620"
"2329807815" "1577005140" "1993648378" "2185108114" "1788456593"
"2739810" "1996916" "1509149" "1078698" "814140"
"154654269" "109840449" "89508669" "65646178" "50406624"
"6108682" "4015654" "3521957" "3283905" "2206808"
"346413080" "214800035" "207089232" "215059358" "161624924"
"8647643" "6755326" "6769834" "5142099" "5070159"
"569984239" "333485523" "482452865" "264337547" "354737072"
"384320" "406031" "450041" "466645" "335647"
"4669985" "3904834" "5763450" "5639863" "4434915"
"1372458" "1266087" "1131963" "1168199" "1133128"
"465221318" "451405823" "444875000" "464970000" "450921000"
"271452" "285366" "267361" "265307" "327147"
"6610507" "7253118" "6652604" "6656392" "10421182"
"22037973" "22637984" "20244497" "16625832" "17869949"
"67788630" "68524529" "65349074" "49469257" "54412956"
"61084000" "60645417" "58121003" "51539584" "50466457"
"152536000" "137858890" "138113218" "110945167" "118392780"
"67773274" "72399844" "63915821" "76104780" "90149480"
"2560330804" "2707719216" "2582423697" "2926822777" "4356024186"
"66388384" "60557805" "35771154" "12802847" "13825975"
"495699214" "486965589" "473212960" "456111132" "440606426"
"3161576" "3197641" "2758792" "2693759" "2395054"
"184412536" "210358014" "198538690" "200239288" "176274671"
"1377097" "1223093" "1200564" "1621631" "1786767"
"3434648039" "3137586781" "3703138887" "6660492899" "7114985199"
"52995764" "52995764" "54246483" "51785789" "52386371"
"34193965" "33398271" "32834801" "28956553" "31722039"
"9139812" "9103959" "9266574" "9252272" "9539631"
"58082894" "59375018" "60376684" "56832026" "57846559"
"27469173" "28163195" "27595928" "25468575" "24649997"
"16922290" "14134147" "13695252" "12927750" "11965502"
"61188149" "60405103" "67786318" "66026785" "72381007"
"6860445" "6174439" "6290610" "5709339" "5709339"
"142956569" "184997686" "206807181" "199115305" "235282860"
"1214446356" "1389279047" "1602574592" "1506276846" "1621400316"
"7366526456" "8500313357" "8914828122" "8463194794" "8889759283"
"314144304" "334435155" "349772508" "350715978" "368241393"
"94882450" "94882450" "105876529" "110297133" "130530985"
"142094811" "174916701" "161354686" "176802415" "220460912"
"104380094" "93028191" "107173804" "100792198" "104322709"
"307605599" "283247649" "295793159" "286030261" "285317097"
"8083457" "6341799" "5819162" "5364844" "5391252"
"3020117" "3644278" "4028827" "3621348" "2847289"
"190588" "290789" "334754" "413540" "537799"
"829263" "300753" "204106" "154746" "154398"
"445324765" "434164946" "406424909" "389690414" "396433817"
