"source_desc" "sector_desc" "group_desc" "commodity_desc" "class_desc" "prodn_practice_desc" "util_practice_desc" "statisticcat_desc" "unit_desc" "short_desc" "domain_desc" "domaincat_desc" "agg_level_desc" "state_ansi" "state_fips_code" "state_alpha" "state_name" "asd_code" "asd_desc" "county_ansi" "county_code" "county_name" "region_desc" "zip_5" "watershed_code" "watershed_desc" "congr_district_code" "country_code" "country_name" "location_desc" "year" "freq_desc" "begin_code" "end_code" "reference_period_desc" "week_ending" "load_time" "Value" "CV (%)"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "05" "05" "AR" "ARKANSAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARKANSAS" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 1285381 "1.0"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "06" "06" "CA" "CALIFORNIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CALIFORNIA" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 561968 "3.9"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "12" "12" "FL" "FLORIDA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "FLORIDA" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 0 "(D)"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "17" "17" "IL" "ILLINOIS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ILLINOIS" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 0 "(D)"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "22" "22" "LA" "LOUISIANA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "LOUISIANA" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 395063 "4.5"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "28" "28" "MS" "MISSISSIPPI" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MISSISSIPPI" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 129405 "4.2"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "29" "29" "MO" "MISSOURI" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MISSOURI" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 174559 "4.5"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "45" "45" "SC" "SOUTH CAROLINA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "SOUTH CAROLINA" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 0 "(D)"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "47" "47" "TN" "TENNESSEE" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "TENNESSEE" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 645 "0.8"
"CENSUS" "CROPS" "FIELD CROPS" "RICE" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "RICE - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "48" "48" "TX" "TEXAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "TEXAS" "2012" "ANNUAL" "00" "00" "YEAR" "" "2012-12-31 00:00:00" 134189 "21.2"
