"source_desc" "sector_desc" "group_desc" "commodity_desc" "class_desc" "prodn_practice_desc" "util_practice_desc" "statisticcat_desc" "unit_desc" "short_desc" "domain_desc" "domaincat_desc" "agg_level_desc" "state_ansi" "state_fips_code" "state_alpha" "state_name" "asd_code" "asd_desc" "county_ansi" "county_code" "county_name" "region_desc" "zip_5" "watershed_code" "watershed_desc" "congr_district_code" "country_code" "country_name" "location_desc" "year" "freq_desc" "begin_code" "end_code" "reference_period_desc" "week_ending" "load_time" "Value" "CV (%)"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "01" "01" "AL" "ALABAMA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ALABAMA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 347037 "4.2"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "05" "05" "AR" "ARKANSAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARKANSAS" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 3498157 "5.3"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "08" "08" "CO" "COLORADO" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "COLORADO" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 18989 "13.6"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "09" "09" "CT" "CONNECTICUT" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CONNECTICUT" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 664 "(H)"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "10" "10" "DE" "DELAWARE" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "DELAWARE" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 178342 "8.5"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "12" "12" "FL" "FLORIDA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "FLORIDA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 14376 "30.2"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "13" "13" "GA" "GEORGIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "GEORGIA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 150222 "5.2"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "15" "15" "HI" "HAWAII" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "HAWAII" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 165 "1.5"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "16" "16" "ID" "IDAHO" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "IDAHO" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 0 "(D)"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "17" "17" "IL" "ILLINOIS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ILLINOIS" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 10607911 "2.9"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "18" "18" "IN" "INDIANA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "INDIANA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 5981372 "2.9"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "19" "19" "IA" "IOWA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "IOWA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 9949724 "2.9"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "20" "20" "KS" "KANSAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "KANSAS" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 5120305 "5.9"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "21" "21" "KY" "KENTUCKY" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "KENTUCKY" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 1886601 "3.5"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "22" "22" "LA" "LOUISIANA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "LOUISIANA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 1250093 "9.7"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "23" "23" "ME" "MAINE" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MAINE" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 1387 "47.3"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "24" "24" "MD" "MARYLAND" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MARYLAND" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 512697 "2.3"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "25" "25" "MA" "MASSACHUSETTS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MASSACHUSETTS" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 317 "1.0"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "26" "26" "MI" "MICHIGAN" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MICHIGAN" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 2487343 "8.5"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "27" "27" "MN" "MINNESOTA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MINNESOTA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 8142472 "2.0"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "28" "28" "MS" "MISSISSIPPI" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MISSISSIPPI" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 2170472 "9.2"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "29" "29" "MO" "MISSOURI" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MISSOURI" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 5868690 "5.4"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "30" "30" "MT" "MONTANA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "MONTANA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 10685 "32.8"
"CENSUS" "CROPS" "FIELD CROPS" "SOYBEANS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "SOYBEANS - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "31" "31" "NE" "NEBRASKA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "NEBRASKA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 5664225 "5.3"
