"source_desc" "sector_desc" "group_desc" "commodity_desc" "class_desc" "prodn_practice_desc" "util_practice_desc" "statisticcat_desc" "unit_desc" "short_desc" "domain_desc" "domaincat_desc" "agg_level_desc" "state_ansi" "state_fips_code" "state_alpha" "state_name" "asd_code" "asd_desc" "county_ansi" "county_code" "county_name" "region_desc" "zip_5" "watershed_code" "watershed_desc" "congr_district_code" "country_code" "country_name" "location_desc" "year" "freq_desc" "begin_code" "end_code" "reference_period_desc" "week_ending" "load_time" "Value" "CV (%)"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "01" "01" "AL" "ALABAMA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ALABAMA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 126434 "13.1"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "02" "02" "AK" "ALASKA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ALASKA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 102 "(L)"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "04" "04" "AZ" "ARIZONA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARIZONA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 97454 "18.9"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "05" "05" "AR" "ARKANSAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARKANSAS" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 164284 "12.4"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "06" "06" "CA" "CALIFORNIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CALIFORNIA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 137821 "14.3"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "08" "08" "CO" "COLORADO" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "COLORADO" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 1507696 "31.5"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "09" "09" "CT" "CONNECTICUT" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CONNECTICUT" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 217 "6.6"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "10" "10" "DE" "DELAWARE" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "DELAWARE" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 47392 "4.3"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "12" "12" "FL" "FLORIDA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "FLORIDA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 2762 "42.1"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "13" "13" "GA" "GEORGIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "GEORGIA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 125500 "28.5"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "16" "16" "ID" "IDAHO" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "IDAHO" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 1162597 "13.1"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "17" "17" "IL" "ILLINOIS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ILLINOIS" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 540232 "2.8"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "18" "18" "IN" "INDIANA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "INDIANA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 262177 "3.0"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "19" "19" "IA" "IOWA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "IOWA" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 15420 "10.9"
"CENSUS" "CROPS" "FIELD CROPS" "WHEAT" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "WHEAT - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "20" "20" "KS" "KANSAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "KANSAS" "2022" "ANNUAL" "00" "00" "YEAR" "" "2024-02-13 12:00:00.000" 6630355 "2.8"
