"","...3"
"...1",250705.368959621
"...2",66325.8353196591
"...3",103310.953329352
"...4",108457.109731911
"...5",34532.2918682244
"...6",73963.6513566015
"...7",123814.186690053
"...8",97461.1384857957
"...9",4061.90783241946
"...10",68204.7493434711
"...11",136959.807777948
"...12",34657.5087533383
"...13",19724.7688398099
"...14",29280.9328643265
"...15",44137.7206029674
"...16",33445.3070735516
"...17",53915.5377323799
"...18",21140.5239965788
"...19",730.551352246127
"...20",295866.752495619
"...21",1992.63783454236
"...22",5436.48282057082
"...23",139785.91620073
"...24",226953.230090152
"...25",6206.04386067939
"...26",426185.175890703
"...27",55946.2880951733
"...28",30342.8277809901
"...29",7533.88548690866
"...30",124988.766014958
"...31",37007.1435573769
"...32",212748.227414448
"...33",126402.244047695
"...34",58137.33846118
"...35",24702.5187277231
"...36",277236.069617853
"...37",59977.3923605747
"...38",17605.3042252433
"...39",82765.2424755967
"...40",7576.44993460291
"...41",62476.873514944
"...42",14036.4646788214
"...43",28977.7632415644
"...44",9436.51359635185
"...45",33299.6662030248
"...46",18580.6003047937
"...47",135254.207074809
"...48",10630.2103770737
"...49",106189.484976625
"...50",34552.9901635145
"...51",27809.3926111258
"...52",56010.1464381743
"...53",45751.2737194712
"...54",10167.330413725
"...55",19378.1465951379
"...56",12746.3145844403
"...57",20221.1961276769
"...58",113543.694992193
"...59",34461.128411441
"...60",103131.641778399
"...61",29940.8362248853
"...62",57779.0046416965
"...63",17954.1880162523
"...64",84581.2004009104
"...65",82290.0256221019
"...66",124854.580120864
"...67",147929.958211893
"...68",99585.4603876518
"...69",65190.3947490496
"...70",49729.2907283247
"...71",6454.86249530029
"...72",430459.25360444
"...73",87136.9993132894
"...74",133446.428908805
"...75",90869.3918324118
"...76",19480.8951088921
"...77",84782.6286801168
"...78",56810.336346277
"...79",95092.3974634926
"...80",76007.9050925264
"...81",34078.2538452084
"...82",26304.0397604444
"...83",20519.0029948592
"...84",109477.35407594
"...85",27533.2944702724
"...86",126939.37963287
"...87",101645.196174649
"...88",80529.6054523972
"...89",40482.8207571084
"...90",50766.0903411368
"...91",28195.7326173906
"...92",32412.034653663
"...93",110668.481449978
"...94",37008.3765945128
"...95",32605.2009824982
"...96",60160.1893014593
"...97",25813.6324383996
"...98",10315.7119819868
"...99",36623.6690081368
"...100",18792.7189870383
"...101",23855.5694667168
"...102",10106.0956688974
"...103",30835.3118950478
"...104",472518.585438915
"...105",137242.815558873
"...106",86594.1316632052
"...107",58987.2396189958
"...108",14973.9581339542
"...109",70280.5774536317
"...110",136683.976500864
"...111",18429.1163521101
"...112",6213.37030268252
"...113",11414.7404937234
"...114",18357.8163777254
"...115",42302.9050399226
"...116",38387.3281008218
