"","FIPS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"288",10001,2249694.07269788,39320.8205113751,806669.085308779,961.766009563168,275998.184518312,7330.88439711266,0,0,2948.46591419541,8548.69516421736,39369.2578368299,142049.54617978,0,0,0,0,8372.40442339971,1522.25534970904,300848.826897463
"289",10003,839774.88069404,26038.1344953002,279673.331733429,0,71521.4103656948,0,0,0,0,8003.41415513692,54526.9307507515,46544.3325470747,0,0,0,0,3125.28490478313,568.23361905148,112302.063992098
"290",10005,4547436.954621,55634.3515492239,952851.121291214,1500.33693296252,246815.721859578,4850.96671055644,757.181469471282,0,6023.56356237252,7934.88156929621,21589.7421705613,179269.723744542,0,0,0,0,16923.6260770081,3077.02292309238,608123.162073881
"291",11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1160",24001,24769.230775345,9527.27478868887,23281.067382799,175.934342022285,8768.65172502402,0,0,4790.71410463214,1232.09254684893,7350.86475082754,75053.1388242408,3040.77800333882,0,0,0,0,92.1805412675577,16.7600984122833,3312.35882796222
"1161",24003,120116.775344731,2462.36282890835,42188.034002294,193.282039317951,2970.10128151422,0,0,0,316.091197241664,3396.83251558306,39785.4233530755,6959.01482090957,0,0,0,0,447.023545745809,81.2770083174201,16063.0689264484
"1162",24005,748074.61701792,42629.1589735962,188378.733714885,670.370281100845,31077.2708670485,7806.19866660531,0,0,0,15261.9088989618,91986.4512741435,29667.5615668769,0,0,0,0,2784.01552840602,506.184641528371,100039.10029052
"1163",24009,99413.0103099229,0,70096.0747723712,0,857.768997634572,21832.1113592355,0,4577.31121133407,274.904412143031,947.537491188958,21964.2911351823,2905.3262085506,0,0,0,0,369.972938704567,67.2678070371943,13294.3798417085
"1164",24011,1407021.51852782,18439.8840451161,686362.362408204,0,139257.880929015,59802.8185873689,0,0,4531.3625889666,7851.45059522926,21081.0954284834,98511.6181060351,0,0,0,0,5236.33561047432,952.061020086243,188159.260588241
"1165",24013,1270337.81285885,242069.861143933,342765.863639672,459.212855600703,70210.0097854857,875.682720559059,1470.14968473925,0,1055.26444984746,32353.339872106,239937.916360731,56970.0618195543,0,0,0,0,4727.65699686301,859.57399942964,169880.716405035
"1166",24015,634000.647701047,89988.0394765933,183009.38694973,0,61266.3747438155,2459.20495708039,467.016877271507,19739.7676300716,1185.53206580055,15351.2992283192,72967.6871817214,37304.7806148901,0,0,0,0,2359.48073636739,428.996497521344,84784.1283967802
"1167",24017,146764.689301765,767.731851904054,230336.637384868,345.227146029385,14237.5623764579,45901.9470760078,0,0,564.580456072494,3444.50735790703,38985.4607496257,16386.6961823646,0,0,0,0,546.195746711203,99.3083175838553,19626.6617502603
"1168",24019,1022511.86321054,0,586510.164926519,0,16962.4696147409,61595.6014544595,0,0,2106.49986170857,455.890679722989,5715.33975643901,97152.8442357011,0,0,0,0,3805.35422589979,691.882586527238,136739.256358854
