"","FIPS","kghumanPintakecnty_17[, 1]"
"288",10001,76498.8179929683
"289",10003,246573.99243784
"290",10005,92668.7476688932
"291",11001,274356.580896733
"1160",24001,33915.9562248997
"1161",24003,247086.085995989
"1162",24005,368052.142674676
"1163",24009,41344.6683136146
"1164",24011,15226.7472640529
"1165",24013,76927.2035979661
"1166",24015,47018.9402575544
"1167",24017,68516.0279393721
"1168",24019,14902.5701983868
"1169",24021,108814.47733002
"1170",24023,13611.4607057754
"1171",24025,112908.048403145
"1172",24027,133162.521343019
"1173",24029,9209.2455986174
"1174",24031,447646.094390222
"1175",24033,395424.151732461
"1176",24035,22234.1177543657
"1177",24037,49185.9583059109
"1178",24039,12106.7918705536
"1179",24041,17417.0636345376
"1180",24043,67964.9278602194
"1181",24045,45850.186924132
"1182",24047,23674.9447520967
"1183",24510,277637.467335965
"1796",36003,22010.5349189394
"1798",36007,90576.6787103512
"1802",36015,39904.4741027976
"1803",36017,22706.9284595938
"1806",36023,22341.7559831023
"1807",36025,21656.1976208328
"1816",36043,29138.6363845812
"1820",36051,29621.1085746499
"1821",36053,33520.3523859853
"1823",36057,22720.0223107042
"1827",36065,105994.050163325
"1828",36067,211646.945815211
"1829",36069,49426.7885712291
"1833",36077,28162.583099414
"1842",36095,14891.5538091227
"1843",36097,8202.30996270497
"1845",36101,44717.8243643193
"1848",36107,23023.4295173249
"1849",36109,46313.3343573151
"1856",36123,11510.2700656725
"2211",42001,46698.6453918065
"2215",42009,22447.4964956985
"2216",42011,189179.763598863
"2217",42013,57195.1167643931
"2218",42015,28261.2815134175
"2221",42021,64065.6831618579
"2222",42023,2215.60077237323
"2223",42025,30042.0871975172
"2224",42027,71172.8342392463
"2225",42029,231151.291013227
"2227",42033,36704.240890529
"2228",42035,17835.5141930892
"2229",42037,30667.5957674158
"2231",42041,108248.208676016
"2232",42043,122519.221251243
"2234",42047,14137.7293688579
"2238",42055,69386.0679512022
"2239",42057,6755.25264977269
"2241",42061,20759.2477777078
"2242",42063,40063.8517996918
"2243",42065,20341.7004944437
"2244",42067,11287.0486386527
"2245",42069,96921.4278058989
"2246",42071,238934.884699564
"2248",42075,61501.6146024968
"2250",42079,145045.098107981
"2251",42081,52068.9667496813
"2252",42083,19393.1892091199
"2254",42087,21094.6214576838
"2257",42093,8250.34975839393
"2259",42097,42676.8637473426
"2260",42099,20968.7434717052
"2263",42105,7825.57858597439
"2264",42107,66767.639056759
"2265",42109,18120.1395433479
"2266",42111,34894.5388558953
"2267",42113,2890.68359695627
"2268",42115,19676.189284256
"2269",42117,19009.3238046404
"2270",42119,20593.637701925
"2274",42127,24309.662863471
"2276",42131,12784.3126957827
"2277",42133,201195.714123507
"2787",51001,14509.3140300049
"2788",51003,46466.9355738605
"2789",51005,7637.03221155965
"2790",51007,5846.02186114913
"2791",51009,14648.8271853567
"2792",51011,6874.80989250549
"2793",51013,95384.7057004721
"2794",51015,34032.715350348
"2795",51017,2107.42143885554
"2796",51019,31757.1553031863
"2798",51023,15205.7975459208
"2801",51029,7878.94587298443
"2802",51031,25101.0529359141
"2803",51033,13468.1549303473
"2805",51036,3305.88294251239
"2806",51037,5692.87326220664
"2807",51041,147867.423472905
"2808",51043,6461.14544078764
"2809",51045,2352.22468019597
"2810",51047,22202.2416907829
"2811",51049,4631.93843947376
"2813",51053,12955.6115996394
"2814",51057,5139.60511263611
"2815",51059,498510.814905277
"2816",51061,30347.9336302213
"2818",51065,12109.1396944322
"2820",51069,37079.076704282
"2821",51071,7861.42759189589
"2822",51073,16829.0303642997
"2823",51075,10243.5415600051
"2825",51079,8594.2119841369
"2828",51085,46311.0770938843
"2829",51087,142611.697965758
"2831",51091,1028.51698044127
"2832",51093,16424.8474236095
"2833",51095,31961.8645396723
"2834",51097,3164.11198407445
"2835",51099,11260.5004179335
"2836",51101,7446.499190145
"2837",51103,5127.14363418016
"2839",51107,153895.309965913
"2840",51109,15648.1773241478
"2841",51111,5809.7212990793
"2842",51113,6079.71848377251
"2843",51115,4032.88851769068
"2845",51119,5040.72666508858
"2846",51121,43589.8866603748
"2847",51125,6833.45230535336
"2848",51127,8769.21376204223
"2849",51131,5530.06224960138
