year,Nsource,crop,values
1997,Synthetic Fertilizer,corn for grain,72829854.90794334
1997,Synthetic Fertilizer,corn for silage,37246389.38626931
1997,Synthetic Fertilizer,wheat,11734249.229824442
1997,Synthetic Fertilizer,oats,2241521.5681113154
1997,Synthetic Fertilizer,barley,3389373.511713093
1997,Synthetic Fertilizer,sorghum for grain,423852.81465725205
1997,Synthetic Fertilizer,sorghum for silage,431764.4900647134
1997,Synthetic Fertilizer,potatoes,1187563.9701177964
1997,Synthetic Fertilizer,rye,187320.45027086997
1997,Synthetic Fertilizer,alfalfa hay,0
1997,Synthetic Fertilizer,other hay,11924388.690990165
1997,Synthetic Fertilizer,soybeans,0
1997,Synthetic Fertilizer,cropland pasture,0
1997,Synthetic Fertilizer,noncropland pasture,0
1997,Synthetic Fertilizer,rice,0
1997,Synthetic Fertilizer,peanuts,707121.2038539492
1997,Synthetic Fertilizer,grass,0
1997,Synthetic Fertilizer,winter rye,0
1997,Synthetic Fertilizer,CGF,568078.4450685013
1997,Synthetic Fertilizer,CGM,103286.99001245487
1997,Synthetic Fertilizer,DGS,0
2002,Synthetic Fertilizer,corn for grain,64100631.10246467
2002,Synthetic Fertilizer,corn for silage,36781317.50795008
2002,Synthetic Fertilizer,wheat,9543665.171294026
2002,Synthetic Fertilizer,oats,1661393.9283460514
2002,Synthetic Fertilizer,barley,2732573.1544923815
2002,Synthetic Fertilizer,sorghum for grain,124274.8074918442
2002,Synthetic Fertilizer,sorghum for silage,467135.9362724295
2002,Synthetic Fertilizer,potatoes,1087850.6759152499
2002,Synthetic Fertilizer,rye,351934.795565002
2002,Synthetic Fertilizer,alfalfa hay,0
2002,Synthetic Fertilizer,other hay,11372729.682310903
2002,Synthetic Fertilizer,soybeans,0
2002,Synthetic Fertilizer,cropland pasture,0
2002,Synthetic Fertilizer,noncropland pasture,0
2002,Synthetic Fertilizer,rice,0
2002,Synthetic Fertilizer,peanuts,565042.5350392762
2002,Synthetic Fertilizer,grass,0
2002,Synthetic Fertilizer,winter rye,0
2002,Synthetic Fertilizer,CGF,556398.5731317071
