"","1997","2002","2007","2012","2017","2022"
"iter_1",800501520.878101,768137175.344366,738084579.18586,729357985.019375,657377330.900209,640889044.038128
"iter_2",723349014.934582,753200093.789229,705372148.877566,672165822.319223,643473889.309723,654568883.76827
"iter_3",731042516.597877,713498140.24551,745880718.154777,694222246.592123,604842791.513716,635072137.446905
"iter_4",729888589.014379,753034214.427637,719941571.85429,707463264.84515,639910156.345531,619169678.831773
"iter_5",749212746.024835,802373299.265597,749995696.63143,696661916.171807,667243698.416378,678015286.32133
"iter_6",756094167.100477,769080832.816892,730362574.773181,693049527.585755,631002247.675575,646118978.316312
"iter_7",757263236.755869,786793168.037901,740228296.640045,688946472.325462,698115290.142654,680152142.427058
"iter_8",733882335.974942,776797814.557351,703500716.285921,668295589.076373,646010628.949478,596214265.619878
"iter_9",716788145.16407,741705123.668574,734192143.668345,651646186.750512,647050243.989652,612454520.563686
"iter_10",682336798.523596,744895341.264473,685674357.913395,651612594.084261,627167251.685275,610948227.194136
"iter_11",733151607.590676,724460932.395121,696241359.539395,692830221.805362,688041082.429043,600602361.770953
"iter_12",705908349.034903,747419388.706047,751594257.493585,674429388.808557,642955947.442702,602175211.99713
"iter_13",756362938.414317,781796814.296406,724820867.969314,693184262.676649,672655114.692617,639849970.448514
"iter_14",765886488.291806,775738238.292312,677161093.649979,711711880.657243,631954973.336909,637587919.973946
"iter_15",726800511.909713,703776217.892682,708014207.446854,635954930.20591,647915017.679805,643019527.742447
"iter_16",783426548.691488,760932278.688436,742155958.186572,704871127.817037,666086457.521754,657901600.284567
"iter_17",737037315.31477,740010340.166104,711228768.420442,644230494.002407,616158965.080811,650176807.283242
"iter_18",777615492.689938,741111943.214434,725650946.868183,697681321.736907,656409230.61266,661715175.857073
"iter_19",778821130.88468,807600851.540194,781696870.826381,751436056.984075,708248394.095933,672390560.775388
"iter_20",736361279.555328,801178471.481521,700127428.023651,682405820.255496,664588349.661831,629144094.655156
"iter_21",726258237.713712,820442443.682945,766529108.442974,725719809.194957,707662742.74344,672936395.112807
"iter_22",753707627.332259,786018801.358667,695368977.729471,673349430.419248,667470233.953014,659322754.071463
"iter_23",732018386.526499,747022395.630174,715512433.076927,651523515.898233,595632371.583907,610208992.182652
"iter_24",723170929.465407,720732924.337383,767714661.058931,655405758.41181,590718648.761328,599902943.997216
"iter_25",688255529.446534,759157985.115201,698205824.043203,693139487.249565,636484347.872326,665211182.245584
"iter_26",714314377.098002,717800208.924532,724133469.921675,645727766.63877,611639435.86037,567839025.999681
"iter_27",789819287.565998,754126666.81284,791012049.811012,718376135.66483,635891829.123713,696191863.904534
"iter_28",781339554.962932,737292283.588028,730736459.395641,701970134.232334,691819928.862159,650053617.335564
"iter_29",749697084.899078,722929737.381142,685850680.828247,703088750.670028,639123602.40916,636867933.552195
"iter_30",742818291.584996,739996004.304749,710618635.19096,695031406.538137,663157945.039176,649217396.443013
"iter_31",753058003.457155,775825648.805903,726161573.316581,694411179.639085,647198599.86942,659975154.788375
"iter_32",722381115.963142,726553078.325918,733093348.560119,671146141.841528,618830521.34441,612271001.735871
"iter_33",715370415.473538,745183504.22588,697383281.767738,660334255.656093,587919131.388593,613663301.867094
"iter_34",697515909.161342,751337818.450511,688986805.399305,700932728.96594,640610146.396429,601645415.666728
"iter_35",724068522.938406,779639407.564045,728832017.99607,675952044.710248,660445626.109608,599427503.34315
"iter_36",752184980.003637,796922984.097279,787489549.304603,758484872.375672,733844381.042675,707152470.216257
"iter_37",745284062.965657,766009557.532277,721358268.44918,722570871.020821,713128859.465848,698013474.968753
"iter_38",739862905.411743,772443677.805069,695683943.158679,690918855.623933,660507753.361899,648206659.086817
"iter_39",763373577.40647,775367230.279096,716594713.140638,668535032.74477,632880985.252434,619466213.179741
"iter_40",740052345.582633,726045537.532224,719730880.372618,681856340.121381,618149316.569404,633694709.064834
"iter_41",707431654.705204,785907160.265032,688916198.173689,678155369.942877,611613201.309979,651546493.572247
"iter_42",710223171.370908,773482673.771574,699006456.647144,666166216.025104,670011577.685586,647442794.348626
"iter_43",744583142.889405,768728944.358971,703783827.565627,697199824.345649,647222247.597922,630267805.520046
"iter_44",762102646.999775,719349842.812556,721946204.764272,661456326.480035,610860027.782193,635349261.024358
"iter_45",715245048.305015,743097233.770367,735190581.742903,695559969.83711,615608960.737611,642353518.541558
"iter_46",796980972.301692,775143242.161652,745227086.491115,724937981.655499,734522520.82102,649199156.226891
"iter_47",715085120.391981,746006465.458258,706616603.87682,668283398.780471,635862551.608136,661292223.175703
"iter_48",727377548.028785,738212498.359805,717188918.363757,657341927.716076,679938064.62032,660058639.29242
"iter_49",662723947.26866,754980700.02264,672719817.506444,634331336.029723,641174378.335894,610206974.205421
"iter_50",740109410.519848,775422923.842474,729465252.543413,659088224.053024,656678611.746221,635585901.738715
