"","FIPS","LRS","AtmDep2017"
"1",10001,"N10001EL2_4400_4590",13655.6388640986
"2",10001,"N10001EL0_4560_4562",50136.3433648509
"3",10005,"N10005EL0_4560_4562",14427.8020389527
"4",10005,"N10005EL0_4561_4562",83973.9146982979
"5",10005,"N10005EL0_4562_0001",19345.4284930498
"6",10001,"N10001EL2_4590_0001",32346.298721416
"7",10005,"N10005EL2_4590_0001",12311.7316135181
"8",24011,"N24011EL2_4590_0001",5826.40116365182
"9",10005,"N10005EL0_4591_0000",9519.74898653209
"10",24011,"N24011EL0_4591_0000",8837.62698055326
"11",24019,"N24019EL0_4591_0000",349.411028931037
"12",24019,"N24019EL0_4592_0000",2339.55084300191
"13",24045,"N24045EL0_4593_0000",12675.8830918184
"14",24019,"N24019EL0_4593_0000",34340.2097867827
"15",24045,"N24045EL0_4594_0000",33466.3829825536
"16",10005,"N10005EL0_4594_0000",9830.55817611739
"17",24045,"N24045EL0_4595_0000",1318.71898828417
"18",24045,"N24045EL0_4596_0000",11467.8092075326
"19",24045,"N24045EL2_4630_0000",2037.08090906936
"20",10005,"N10005EL2_4630_0000",41230.1408895645
"21",24011,"N24011EL2_4630_0000",68683.5913842302
"22",24019,"N24019EL2_4630_0000",140417.708278658
"23",10005,"N10005EL0_4631_0000",2449.12892909884
"24",10005,"N10005EL0_4632_0000",37791.0742073385
"25",24045,"N24045EL0_4633_0000",91544.9162123403
"26",10005,"N10005EL0_4633_0000",36950.2880954373
"27",24045,"N24045EL0_5040_0000",2686.70576022129
"28",24045,"N24045EL2_5110_5270",1490.14471447774
"29",24047,"N24047EL2_5110_5270",8950.43173509485
"30",10005,"N10005EL2_5110_5270",16270.7818022624
"31",24019,"N24019EL1_5150_0001",382.827166346503
"32",24019,"N24019EL0_5151_0000",23715.5707008312
"33",24045,"N24045EL2_5272_5270",4060.10904733413
"34",24047,"N24047EL2_5270_0001",2068.94864140761
"35",24047,"N24047EL0_5271_0000",347.969832124354
"36",24019,"N24019EL0_5280_0000",329.815237205142
"37",24019,"N24019EL0_5281_0000",7962.63243022529
"38",24019,"N24019EL0_5283_0000",2044.98820769358
"39",24045,"N24045EL0_5400_0001",55265.9786342765
"40",10005,"N10005EL0_5400_0001",17425.1437377196
"41",24045,"N24045EL1_5430_0001",38364.160968321
