Species,State,"Total Corn-
Related","Total Corn-
Related","Total Corn-
Related","Total Corn-
Related","Total Small
Grains","Total Small
Grains",Total Processed Plant Byproducts,"Total Soy-
Related",Total Processed Plant Byproducts,Total Processed Plant Byproducts,Total Processed Plant Byproducts,Total Processed Plant Byproducts,"Total Soy-
Related","Total Soy-
Related","Total Soy-
Related",Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Animal Byproduct Meals,Total Processed Plant Byproducts,"Total
Forages","Total
Forages","Total
Forages"
Species,"State
(All Numbers are in Short Tons)",Corn,Corn DDGs,Corn Gluten Feed/Meal,Hominy Feed,Wheat,Oats,Cottonseed,Soybean Meal,Canola Meal,Cottonseed Meal,Wheat Middlings and Wheat Bran,Rice Mill Feed,Soy Hulls,Soybean Oil,Soybean Seeds,Meat and Bone Meal,Feather Meal,Meat Meal,Bloodmeal,Miscellaneous Byproduct Feeds,Corn Silage,Alfalfa Hay,Other Hay
Beef Cattle,Delaware,554.44,487.32,288.99,0.00,0.00,0.00,0.00,40.03,0.00,0.00,0.00,0.00,189.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1899.33,494.94,2430.87
Beef Cattle,Maryland,29915.25,30161.47,13034.58,0.00,0.00,0.00,0.00,751.44,0.00,0.00,0.00,0.00,3808.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49031.09,11784.07,62543.97
Beef Cattle,New York,74185.88,69936.86,30675.13,0.00,0.00,0.00,0.00,1398.45,0.00,0.00,0.00,0.00,9294.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114816.60,31234.05,133486.99
Beef Cattle,Pennsylvania,245889.06,299943.64,117357.75,0.00,0.00,0.00,0.00,3862.32,0.00,0.00,0.00,0.00,19322.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273234.05,58516.90,341233.78
Beef Cattle,Virginia,40695.86,39317.57,9442.34,0.00,0.00,0.00,3514.27,5295.24,0.00,3146.40,0.00,0.00,63928.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,787543.96,93324.40,757740.51
Beef Cattle,West Virginia,9658.47,74051.57,58006.70,0.00,1230.37,0.00,0.00,1665.67,0.00,0.00,0.00,0.00,19471.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179830.94,35096.47,199501.11
Broilers,Delaware,1044196.27,56749.55,0.00,0.00,0.00,0.00,0.00,526051.77,12523.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70245.39,0.00,0.00,0.00
Broilers,Maryland,1084547.68,93611.42,0.00,0.00,0.00,0.00,0.00,559816.46,13772.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116845.75,0.00,0.00,0.00
Broilers,New York,10560.94,1218.10,0.00,0.00,0.00,0.00,0.00,4998.05,134.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,966.09,0.00,0.00,0.00
