STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2017,POPESTIMATE2012,FIPS
10,1,Delaware,Kent,176754,167370,10001
10,3,Delaware,New Castle,556491,545053,10003
10,5,Delaware,Sussex,224697,203095,10005
24,1,Maryland,Allegany,71363,73966,24001
24,3,Maryland,Anne Arundel,571359,550476,24003
24,5,Maryland,Baltimore,828956,818218,24005
24,9,Maryland,Calvert,91492,89746,24009
24,11,Maryland,Caroline,33122,32636,24011
24,13,Maryland,Carroll,167687,167085,24013
24,15,Maryland,Cecil,102509,101780,24015
24,17,Maryland,Charles,159718,150700,24017
24,19,Maryland,Dorchester,32093,32483,24019
24,21,Maryland,Frederick,251037,239705,24021
24,23,Maryland,Garrett,29276,29976,24023
24,25,Maryland,Harford,251948,248609,24025
24,27,Maryland,Howard,319409,299223,24027
24,29,Maryland,Kent,19486,19987,24029
24,31,Maryland,Montgomery,1047239,1005310,24031
24,33,Maryland,Prince George's,910946,882787,24033
24,35,Maryland,Queen Anne's,49648,48506,24035
24,37,Maryland,St. Mary's,112627,108847,24037
24,39,Maryland,Somerset,25922,26044,24039
24,41,Maryland,Talbot,37057,37995,24041
24,43,Maryland,Washington,150247,149090,24043
24,45,Maryland,Wicomico,102471,100593,24045
24,47,Maryland,Worcester,51721,51578,24047
24,510,Maryland,Baltimore city,610853,623035,24510
42,1,Pennsylvania,Adams,102629,101265,42001
42,3,Pennsylvania,Allegheny,1220423,1231129,42003
42,5,Pennsylvania,Armstrong,66042,68223,42005
42,7,Pennsylvania,Beaver,165779,170091,42007
42,9,Pennsylvania,Bedford,48359,49592,42009
42,11,Pennsylvania,Berks,417601,413552,42011
42,13,Pennsylvania,Blair,123173,126569,42013
42,15,Pennsylvania,Bradford,60996,63005,42015
42,17,Pennsylvania,Bucks,627302,625603,42017
42,19,Pennsylvania,Butler,187083,185016,42019
42,21,Pennsylvania,Cambria,133035,141563,42021
42,23,Pennsylvania,Cameron,4611,4974,42023
42,25,Pennsylvania,Carbon,63885,64799,42025
42,27,Pennsylvania,Centre,162549,155905,42027
42,29,Pennsylvania,Chester,519057,506049,42029
