V1,V2,V3,V4,V5
0.018415016,0.017419917,0.015555883,0.019867389,0.013721827
0.00371862,0.003846847,0.003349816,0.003800529,0.003082831
0.022028129,0.025165525,0.024820758,0.021884365,0.019896935
0.017092237,0.017534598,0.016261752,0.015855106,0.015610291
0.023119241,0.024541416,0.022314371,0.020049277,0.017898439
0.017907318,0.023979528,0.016590476,0.023043548,0.015515557
0.002475093,0.003128165,0.002349945,0.002490877,0.002095327
0.005630742,0.00560633,0.006021636,0.01572578,0.005470672
0.029352946,0.028224745,0.028751485,0.028649736,0.022469835
0.002950089,0.002992137,0.002811755,0.00304753,0.002971782
0.004181844,0.0057264,0.005177862,0.005155889,0.004630349
0.001323201,0.001470156,0.00206156,0.001820891,0.001448307
0,0,0,0,0
0,0,0,0,0
0.030999519,0.027493955,0.02514233,0.024330529,0.02459985
0.010348626,0.010061058,0.008349492,0.004947623,0.005101559
0,0,0,0,0
0,0,0,0,0
0.018415016,0.017419917,0.015555883,0.019867389,0.013721827
0.018415016,0.017419917,0.015555883,0.019867389,0.013721827
0.018415016,0.017419917,0.015555883,0.019867389,0.013721827
