V1,V2,V3,V4,V5,V6
0.018418226,0.018290656,0.018220306,0.018595174,0.018088429,0.018186592
0.003645302,0.003468178,0.003514083,0.003494868,0.003550695,0.003389637
0.017543289,0.016837829,0.01711692,0.017281071,0.016782262,0.016894003
0.024802082,0.024126218,0.023842629,0.023662166,0.023448188,0.023262378
0.017075691,0.01713695,0.01700696,0.01702579,0.016612232,0.017810807
0.01406086,0.013727477,0.013756409,0.012922131,0.013724769,0.012051522
0.003773264,0.003493786,0.003662206,0.003446144,0.003549529,0.003137863
0.005630742,0.00560633,0.006021636,0.01572578,0.005470672,0.005470672
0.018845211,0.017353379,0.017941387,0.018647504,0.019171746,0.018246133
0.002950089,0.002992137,0.002811755,0.00304753,0.002971782,0.002971782
0.025728816,0.025728816,0.025728816,0.025728816,0.025728816,0.024937399
0.001323201,0.001470156,0.00206156,0.001820891,0.001448307,0.001448307
0,0,0,0,0,0
0,0,0,0,0,0
0.030999519,0.027493955,0.02514233,0.024330529,0.02459985,0.02459985
0.010348626,0.010061058,0.008349492,0.004947623,0.005101559,0.005101559
0,0,0,0,0,0
0,0,0,0,0,0
0.018418226,0.018290656,0.018220306,0.018595174,0.018088429,0.018186592
0.018418226,0.018290656,0.018220306,0.018595174,0.018088429,0.018186592
0.018418226,0.018290656,0.018220306,0.018595174,0.018088429,0.018186592
